 27%|██▋       | 109/400 [02:22<06:22,  1.32s/it]

 28%|██▊       | 110/400 [02:23<06:19,  1.31s/it]
Epoch [111/400], Total Loss: 1.675977684557438

 28%|██▊       | 112/400 [02:26<06:46,  1.41s/it]
Epoch [113/400], Total Loss: 1.6756415143609047

 28%|██▊       | 114/400 [02:29<06:25,  1.35s/it]

 29%|██▉       | 115/400 [02:30<06:15,  1.32s/it]
Epoch [116/400], Total Loss: 1.6735498830676079

 29%|██▉       | 117/400 [02:33<06:15,  1.33s/it]

 30%|██▉       | 118/400 [02:34<06:11,  1.32s/it]

 30%|██▉       | 119/400 [02:35<06:15,  1.34s/it]
Epoch [120/400], Total Loss: 1.6062079295516014

 30%|███       | 121/400 [02:38<06:37,  1.42s/it]

 30%|███       | 122/400 [02:40<06:21,  1.37s/it]
Epoch [123/400], Total Loss: 1.5172600448131561

 31%|███       | 124/400 [02:42<06:09,  1.34s/it]

 31%|███▏      | 125/400 [02:44<06:04,  1.32s/it]
Epoch [126/400], Total Loss: 1.605157881975174

 32%|███▏      | 127/400 [02:46<05:59,  1.32s/it]

 32%|███▏      | 128/400 [02:48<06:03,  1.34s/it]
Epoch [129/400], Total Loss: 1.4602315500378609

 32%|███▎      | 130/400 [02:50<06:17,  1.40s/it]

 33%|███▎      | 131/400 [02:52<06:05,  1.36s/it]
Epoch [132/400], Total Loss: 1.4309173077344894

 33%|███▎      | 133/400 [02:54<05:54,  1.33s/it]

 34%|███▎      | 134/400 [02:56<05:51,  1.32s/it]
Epoch [135/400], Total Loss: 1.4149252623319626

 34%|███▍      | 136/400 [02:58<05:47,  1.32s/it]

 34%|███▍      | 137/400 [03:00<05:46,  1.32s/it]
Epoch [138/400], Total Loss: 1.392127312719822

 35%|███▍      | 139/400 [03:02<05:57,  1.37s/it]

 35%|███▌      | 140/400 [03:04<06:11,  1.43s/it]
Epoch [141/400], Total Loss: 1.3960078805685043

 36%|███▌      | 142/400 [03:06<05:49,  1.35s/it]

 36%|███▌      | 143/400 [03:08<05:42,  1.33s/it]
Epoch [144/400], Total Loss: 1.2670455053448677

 36%|███▋      | 145/400 [03:10<05:33,  1.31s/it]

 36%|███▋      | 146/400 [03:12<05:34,  1.32s/it]
Epoch [147/400], Total Loss: 1.3193434700369835

 37%|███▋      | 148/400 [03:14<05:35,  1.33s/it]

 37%|███▋      | 149/400 [03:16<05:47,  1.38s/it]
Epoch [150/400], Total Loss: 1.2972221300005913

 38%|███▊      | 151/400 [03:18<05:32,  1.34s/it]

 38%|███▊      | 152/400 [03:20<05:27,  1.32s/it]
Epoch [153/400], Total Loss: 1.302237793803215

 38%|███▊      | 154/400 [03:22<05:20,  1.30s/it]

 39%|███▉      | 155/400 [03:24<05:16,  1.29s/it]
Epoch [156/400], Total Loss: 1.2094150260090828

 39%|███▉      | 157/400 [03:26<05:13,  1.29s/it]

