날짜,고가,저가,종가,MA-5,MA-15,EMA-5,EMA-15,RSI
2000-06-16,6960,6710,6740,7126.0,6577.333333333333,6986.965800699021,6767.951668743518,64.17910447761193
2000-06-19,6950,6550,6700,7028.0,6650.666666666667,6891.3105337993475,6759.457710150578,65.81632653061224
2000-06-20,7179,6829,7140,7044.0,6762.666666666667,6974.207022532899,6807.025496381756,66.66666666666666
2000-06-21,7380,7069,7080,6932.0,6848.0,7009.471348355267,6841.147309334036,62.365591397849464
2000-06-22,7270,6960,7040,6940.0,6906.666666666667,7019.647565570178,6866.0038956672815,60.22099447513812
2000-06-23,7009,6860,7000,6992.0,6953.333333333333,7013.098377046786,6882.753408708872,55.68862275449102
2000-06-26,7360,6990,7210,7094.0,6992.666666666667,7078.732251364524,6923.659232620263,56.85131195335277
2000-06-27,7440,7190,7310,7128.0,7030.666666666667,7155.821500909684,6971.951828542729,57.34870317002882
2000-06-28,7540,7220,7520,7216.0,7078.666666666667,7277.21433393979,7040.457849974888,64.51612903225806
2000-06-29,7739,7380,7490,7306.0,7142.666666666667,7348.1428892931945,7096.6506187280265,57.96610169491525
2000-06-30,7540,7290,7380,7382.0,7166.666666666667,7358.761926195463,7132.069291387023,53.287197231833915
2000-07-03,7550,7420,7500,7440.0,7187.333333333333,7405.84128413031,7178.060629963646,57.638888888888886
2000-07-04,7620,7350,7350,7448.0,7206.666666666667,7387.22752275354,7199.55305121819,44.08163265306122
2000-07-05,7519,7350,7430,7430.0,7192.666666666667,7401.485015169028,7228.358919815917,61.37566137566138
2000-07-06,7350,7179,7300,7392.0,7212.666666666667,7367.656676779352,7237.314054838927,65.9090909090909
2000-07-07,7460,7230,7360,7388.0,7254.0,7365.104451186235,7252.6497979840615,68.53932584269663
2000-07-10,7630,7410,7600,7408.0,7314.0,7443.40296745749,7296.068573236053,64.55696202531647
2000-07-11,7740,7450,7450,7428.0,7334.666666666667,7445.601978304994,7315.310001581547,61.07784431137724
2000-07-12,7660,7460,7640,7470.0,7372.0,7510.401318869997,7355.896251383854,66.4835164835165
2000-07-13,7880,7570,7760,7562.0,7420.0,7593.6008792466655,7406.409219960872,70.0
2000-07-14,7840,7540,7550,7600.0,7456.666666666667,7579.067252831112,7424.358067465763,58.94736842105264
2000-07-18,7620,7439,7460,7572.0,7473.333333333333,7539.378168554074,7428.813309032543,53.96825396825397
2000-07-19,7390,7140,7200,7522.0,7466.0,7426.252112369383,7400.211645403475,41.75257731958763
2000-07-20,7110,6840,6900,7374.0,7424.666666666667,7250.83474157959,7337.68518972804,36.65158371040724
2000-07-21,7050,6759,6920,7206.0,7386.666666666667,7140.556494386394,7285.474541012035,39.15094339622642
2000-07-24,6740,6360,6380,6972.0,7320.0,6887.037662924264,7172.29022338553,27.952755905511808
2000-07-25,6400,6120,6280,6736.0,7238.666666666667,6684.691775282843,7060.753945462339,28.51405622489959
2000-07-26,6579,6360,6550,6606.0,7185.333333333333,6639.794516855229,6996.909702279547,33.58208955223881
2000-07-27,6360,6100,6230,6472.0,7105.333333333333,6503.196344570153,6901.045989494603,31.3588850174216
2000-07-28,5910,5710,5730,6234.0,7000.666666666667,6245.464229713436,6754.665240807778,25.377643504531733
2000-07-31,5910,5550,5900,6138.0,6903.333333333333,6130.309486475624,6647.832085706806,23.76543209876543
2000-08-01,6270,5870,6220,6126.0,6811.333333333333,6160.206324317083,6594.353074993455,31.964809384164226
2000-08-02,6170,5930,6070,6030.0,6719.333333333333,6130.137549544723,6528.808940619273,26.706231454005945
2000-08-03,6180,5970,6030,5990.0,6612.0,6096.7583663631485,6466.457823041864,23.708206686930083
2000-08-04,6010,5850,5920,6028.0,6489.333333333333,6037.838910908766,6398.150595161631,24.45141065830721
2000-08-07,5770,5580,5580,5964.0,6358.0,5885.225940605844,6295.8817707664275,22.67441860465115
2000-08-09,6040,5680,6000,5822.0,6152.666666666667,5855.655973602597,6180.5969807430465,36.36363636363636
2000-08-10,6160,5860,6160,5848.0,6103.333333333333,5957.103982401732,6178.022358150166,38.95348837209302
2000-08-11,6070,5880,5960,5856.0,6039.333333333333,5958.069321601155,6150.7695633813955,43.2258064516129
2000-08-14,6160,6000,6020,5944.0,6015.333333333333,5978.712881067437,6134.423367958721,45.751633986928105
2000-08-16,6530,6330,6420,6112.0,6024.666666666667,6125.808587378291,6170.1204469638815,47.96238244514107
2000-08-17,6560,6340,6440,6200.0,6017.333333333333,6230.539058252194,6203.855391093396,53.63321799307959
2000-08-18,6520,6200,6200,6208.0,6015.333333333333,6220.35937216813,6203.373467206721,58.93536121673004
2000-08-21,6340,6190,6270,6270.0,6051.333333333333,6236.906248112087,6211.701783805881,57.312252964426875
