2023-10-17 08:57:13,219 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: keepalive
2023-10-17 08:57:13,291 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:13,753 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:18,222 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: keepalive
2023-10-17 08:57:18,292 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:18,753 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:23,226 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: keepalive
2023-10-17 08:57:23,293 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:23,754 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:28,230 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: keepalive
2023-10-17 08:57:28,294 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:28,755 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:33,233 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: cancel
2023-10-17 08:57:33,242 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: cancel
2023-10-17 08:57:33,295 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:33,756 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:38,296 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:38,758 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:43,297 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:43,759 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:48,271 WARNING StreamThr :2776276 [internal.py:is_dead():414] Internal process exiting, parent pid 2775851 disappeared
2023-10-17 08:57:48,271 ERROR   StreamThr :2776276 [internal.py:wandb_internal():152] Internal process shutdown.
2023-10-17 08:57:48,298 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:57:48,759 INFO    SenderThread:2776276 [sender.py:finish():1534] shutting down sender
2023-10-17 08:57:48,759 INFO    SenderThread:2776276 [dir_watcher.py:finish():358] shutting down directory watcher
2023-10-17 08:57:48,760 INFO    HandlerThread:2776276 [handler.py:finish():866] shutting down handler
2023-10-17 08:57:48,760 INFO    WriterThread:2776276 [datastore.py:close():294] close: /workspace/TCN/wandb/run-20231017_085603-s0r8cksy/run-s0r8cksy.wandb
2023-10-17 08:57:49,185 INFO    MainThread:2776276 [internal.py:handle_exit():76] Internal process exited
2023-10-17 08:57:49,185 INFO    MainThread:2776276 [internal.py:handle_exit():76] Internal process exited
2023-10-17 08:57:49,185 INFO    MainThread:2776276 [internal.py:handle_exit():76] Internal process exited
2023-10-17 08:57:49,185 INFO    MainThread:2776276 [internal.py:handle_exit():76] Internal process exited
